x	insertSortbest*1000	insertSortaverage	insertSortworst	selectionSortbest	selectionSortaverage	selectionSortworst	mergebest	mergeaverage	mergeworst
0 0 0 0 0 0 0 1 0.5 0.5
1 0 0 0 0 0 0 1 1 1
2 0 0.5 0 0 0 0 2.5 2 2
3 0 0.5 0 0.5 0 0 3 3 3
4 0 1 0 0 0 0 4 4 4
5 0 1.5 0.5 0.5 0.5 0.5 5 4.5 4
6 0 2 0.5 0.5 0.5 0.5 5.5 5.5 5.5
7 0 2.5 0.5 0.5 0.5 0.5 6 5.5 6
8 0 3 0.5 1.5 1 1.5 7 7.5 7
9 0 3.5 1 2 2 2 8.5 8.5 8
10 0 3.5 1.5 2 2 2 10 9 9
11 0 4.5 1.5 2 2 2 10 50.5 10
12 0 5.5 2 3.5 3 3 15 11 11
13 0 7 2 3.5 4 3.5 13 11.5 11
14 0 6.5 2.5 3.5 3.5 3.5 14 12.5 12
15 0 17 3.5 4.5 4.5 4.5 22 13.5 13
16 0 8.5 3.5 5 5.5 5 21.5 15.5 16
17 0 10 3.5 5.5 7.5 5.5 16 15 15
18 0 10.5 4 6.5 6.5 7 17 15.5 15.5
19 0 14.5 5.5 9.5 9.5 9.5 22.5 21.5 21.5
20 0 14 6 10.5 10.5 10.5 27 23 23
21 0 15 6.5 11.5 11.5 11 24 24 23.5
22 0 17 7 12.5 12.5 12.5 26 25.5 25.5
23 0 18 8 13.5 13.5 13.5 26.5 26 26
24 0 19 8.5 15 14.5 15 32.5 27 27
25 0 20.5 9.5 16 15.5 16 29.5 29 28.5
26 0 22 10 17 17 17 30 30 30
27 0 23.5 10.5 18 18 18 31.5 31 31
28 0 25.5 11.5 19.5 19.5 20 32.5 32.5 32.5
29 0 26.5 10.5 15.5 15.5 15 27 26.5 27
30 0 25 12 18 18.5 18.5 28.5 29 28.5
31 0 27 13 19.5 19.5 20 30 29 29.5
32 0 41.5 12.5 17.5 18.5 19.5 30.5 28.5 29
33 0 29.5 14.5 21 21 22.5 32 31.5 31
34 0 33 15 29 25.5 75.5 68 28.5 30
35 0 31.5 14.5 22 20.5 23 34.5 30.5 31
36 0 33.5 15.5 25 23.5 23.5 34 31.5 31.5
37 0 35 16 24.5 25.5 26 34 31 31
38 0 33.5 17.5 23.5 60 29.5 40.5 36 80
39 0 44 33.5 26 29 26 55.5 34 34.5
40 0 38.5 18 28.5 41.5 38.5 45.5 38 34.5
41 0 39 24 40.5 40.5 40.5 52 46 45.5
42 0 52.5 28 42.5 42.5 42.5 47.5 46.5 47
43 0 54 25.5 44.5 45 44.5 48 47.5 48
44 0 59.5 27 46.5 43.5 46.5 55 49 48.5
45 0 57.5 28 49 48.5 48.5 50 49.5 47.5
46 0 222 25.5 61.5 36.5 37 61.5 41.5 41
47 0 51 26 38.5 47.5 37.5 39 41.5 40
48 0 51 26.5 40.5 40 42 51.5 42 42
49 0 55.5 32 43 53.5 60 79.5 40.5 41
50 0 57.5 29 43 42.5 41 44.5 82.5 47
51 0 61.5 32 45 49 51.5 50 47 46.5
52 0 67 36.5 52.5 59 54.5 49.5 48.5 49
53 0 67.5 35.5 52 52 57 52.5 49.5 52
54 0 69 35 54.5 52.5 52.5 53.5 50.5 50.5
